internal_model_name,display_name,model_slug,shapes_easy_acc,shapes_hard_acc,digits_unsup_acc,chess_winners_acc,kolmo_shuffle_acc,classify_sentences_acc,classify_shuffled_acc,insert_patches_acc,blunders_easy_acc,blunders_hard_acc,digits_generalize_acc,shapes_variable_acc,xor_easy_acc,xor_hard_acc,splash_easy_acc,splash_hard_acc,number_patterns_acc,avg_acc,avg_acc_standard_error,cost_per_run_usd,mean_total_output_tokens,code_len_p10,code_len_p50,code_len_p90,exec_time_median_s,release_date,API source
gemini-3-pro-preview,gemini-3-pro-preview (high),google/gemini-3-pro-preview,0.9843333333333333,0.7442,0.8135999999999999,0.7056,0.771,0.6042,0.8145000000000001,0.7531666666666668,0.63,0.41933333333333334,0.46514000000000005,0.6353333333333334,0.9156000000000001,0.426,0.8539999999999999,0.6848333333333333,0.6665,0.6992552941176472,0.0126589277845063,0.5257711076923077,7795.272527472527,175.0,230.0,297.6,71.73,2025-11-18,OpenRouter
claude-opus-4.5,"claude-opus-4.5 (high, 16k)",claude-opus-4-5-20251101,0.9776,0.7878000000000001,0.8076000000000001,0.7332000000000001,0.76052,0.5184,0.8321999999999999,0.5929305555555556,0.6308333333333334,0.3956,0.42291999999999996,0.5006,0.6796,0.39580000000000004,0.4606,0.6082000000000001,0.7318,0.6374237581699346,0.016646342828811226,0.7383040804597701,3683.694252873563,126.4,173.0,230.60000000000002,56.705,2025-11-24,anthropic_messages
gpt-5.1,gpt-5.1 (high),openai/gpt-5.1,0.9733333333333333,0.7563333333333334,0.8356666666666667,0.6573333333333333,0.7725666666666666,0.5533333333333333,0.47900000000000004,0.6558611111111111,0.5986666666666667,0.38266666666666665,0.2547,0.44366666666666665,0.8079999999999999,0.5081666666666667,0.6828333333333333,0.3448,0.6236666666666666,0.6076820261437909,0.014219673026109514,0.691334683168317,13206.780198019802,192.0,311.0,468.80000000000007,59.484,2025-11-13,OpenRouter
gpt-5-2025-08-07,gpt-5 (high),gpt-5-2025-08-07,0.9554999999999999,0.6136666666666667,0.8411111111111111,0.74825,0.77032,0.5605714285714285,0.4051428571428571,0.5969,0.6418,0.4234,0.36985999999999997,0.5378000000000001,0.7136666666666667,0.7021666666666667,0.42400000000000004,0.5526666666666666,0.4616666666666667,0.6069699253034547,0.016777026323197355,0.5931804044117647,10675.137254901962,213.8,328.0,496.1,42.4475,2025-08-07,OpenAI responses
gpt-5-pro-2025-10-06,gpt-5-pro (high),gpt-5-pro-2025-10-06,0.987,0.618,0.878,0.721,0.7728,0.493,0.83,0.8308333333333333,0.612,0.448,0.4664,0.342,0.18,0.634,0.092,0.758,0.603,0.6038843137254901,0.02475,7.647644117647059,11490.69411764706,240.6,369.0,527.6,35.451,2025-10-06,OpenAI responses
o3-pro-2025-06-10,o3-pro (high),o3-pro-2025-06-10,0.9485,0.6094999999999999,0.824,0.7364999999999999,0.7724,0.5423333333333334,0.30133333333333334,0.6856666666666666,0.65,0.5555,0.37105,0.351,0.8125,0.368,0.4175,0.178,0.772,0.5821049019607843,0.019073618306924185,2.540382702702703,5242.8378378378375,99.0,148.0,192.0,52.833,2025-06-10,OpenAI responses
gpt-5-codex,gpt-5-codex (high),openai/gpt-5-codex,0.97725,0.518125,0.8060000000000002,0.6888571428571428,0.7626,0.5012857142857143,0.30033333333333334,0.5702619047619047,0.6441428571428572,0.5761666666666666,0.36224285714285714,0.4002857142857143,0.7022857142857143,0.5464285714285714,0.12042857142857143,0.16185714285714287,0.6308571428571428,0.5452593137254902,0.01337443874877935,1.0956137205882353,21301.702521008403,234.8,377.0,641.4000000000001,79.989,2025-09-23,OpenRouter
gemini-2.5-pro:16k,gemini-2.5-pro (thinking 16k),google/gemini-2.5-pro,0.9634,0.3524000000000001,0.8332,0.572,0.7256,0.5109999999999999,0.3774,0.5868333333333333,0.4784,0.2566,0.34178,0.3106,0.7222,0.2852,0.7310000000000001,0.5362,0.6014,0.5403066666666668,0.017124825872631977,0.40966013211764696,7311.552941176471,142.4,199.0,240.0,84.425,2025-06-17,OpenRouter
gpt-5-mini-2025-08-07,gpt-5-mini (high),gpt-5-mini-2025-08-07,0.9742000000000001,0.5458000000000001,0.7576,0.7340000000000001,0.76624,0.549,0.48839999999999995,0.59995,0.6268,0.5262,0.21386,0.3628,0.3944,0.3376,0.2204,0.1412,0.7148,0.5266617647058824,0.014642503026075516,0.1097665111764706,10290.014117647059,183.0,296.0,487.6,24.857,2025-08-07,OpenAI responses
o4-mini-high-2025-04-16,o4-mini (high),openai/o4-mini-high-2025-04-16,0.9812000000000001,0.49939999999999996,0.6779999999999999,0.6626000000000001,0.76516,0.5472,0.30760000000000004,0.5117,0.5946,0.41740000000000005,0.34124000000000004,0.38960000000000006,0.4992,0.35240000000000005,0.41916666666666663,0.38949999999999996,0.58,0.5256450980392158,0.018323764208750044,0.19568509999999997,7921.809090909091,75.0,122.0,162.60000000000002,20.229,2025-04-16,OpenRouter
o3-2025-04-16,o3 (high),o3-2025-04-16,0.9527142857142856,0.48700000000000004,0.8013333333333333,0.6801666666666666,0.7464,0.5328333333333334,0.40119999999999995,0.6004833333333334,0.6242,0.48840000000000006,0.3651,0.257,0.6050000000000001,0.27459999999999996,0.22759999999999997,0.2928,0.575,0.524225350140056,0.015441931633636616,0.22606690322580644,4621.666666666667,90.0,134.0,187.60000000000002,28.289,2025-04-16,OpenAI responses
gpt-oss-120b:ollama,gpt-oss-120b (high),gpt-oss:120b,0.9794,0.5045999999999999,0.462,0.666,0.75344,0.5558,0.5508,0.5799000000000001,0.5962,0.3578,0.27104,0.41679999999999995,0.6454,0.2358,0.2678,0.0558,0.28979999999999995,0.4816694117647058,0.016678445467470653,0.03348301499999999,9313.583529411764,145.4,255.0,346.6,31.076,2025-08-05,Ollama
claude-4.5-sonnet,claude-sonnet-4.5 (thinking 16k),anthropic/claude-sonnet-4.5,0.9700000000000001,0.3286,0.8071111111111111,0.7125555555555556,0.5254666666666666,0.5307777777777778,0.2822222222222222,0.2604722222222222,0.609,0.2941111111111111,0.34478888888888887,0.31666666666666665,0.12277777777777778,0.22310000000000002,0.7562,0.4338,0.5923999999999999,0.4770617647058823,0.010683114543195189,0.3343779683544304,3259.5075949367088,124.9,173.0,240.0,41.659499999999994,2025-09-29,OpenRouter
o1-preview,o1-preview,openai/o1-preview,0.9784999999999999,0.4545,0.836,0.6285000000000001,0.5011,0.5435,0.3145,0.38425,0.581,0.392,0.2625,0.3875,0.5660000000000001,0.3005,0.5515,0.118,0.28500000000000003,0.47557941176470586,0.022664784170150547,1.8487597058823528,5129.382352941177,64.9,133.0,196.39999999999998,9.17,2024-09-12,OpenRouter
claude-4.5-sonnet:nothinking,claude-sonnet-4.5 (no thinking),anthropic/claude-sonnet-4.5,0.96,0.349,0.8696666666666667,0.7045,0.63172,0.5002,0.25680000000000003,0.33099999999999996,0.6186,0.32199999999999995,0.34234,0.2793333333333333,0.2363333333333333,0.1365,0.542,0.26566666666666666,0.5938333333333333,0.4670290196078431,0.012670310629511955,0.2796832978723404,2405.553191489362,149.9,194.0,263.0,48.114000000000004,2025-09-29,OpenRouter
claude-4-sonnet-20250522:16k,claude-4-sonnet (thinking 16k),anthropic/claude-4-sonnet-20250522,0.97,0.49879999999999997,0.7984000000000001,0.659,0.34892,0.5222,0.2956,0.3905666666666667,0.5402000000000001,0.293,0.30998000000000003,0.3088,0.6302000000000001,0.265,0.32883333333333337,0.1426,0.537,0.4611235294117647,0.014712163795807963,0.33598588636363635,3146.6659090909093,131.0,198.0,268.30000000000007,26.002000000000002,2025-05-22,OpenRouter
grok-4-07-09,grok-4-07-09,x-ai/grok-4-07-09,0.9554,0.279,0.8548,0.6172000000000001,0.6551666666666668,0.4984285714285714,0.32857142857142857,0.5035714285714286,0.5366666666666667,0.22971428571428573,0.29991428571428574,0.29083333333333333,0.27649999999999997,0.2615,0.6325,0.13666666666666666,0.41716666666666663,0.4572705882352941,0.013051773049391861,0.4517731019417476,5154.332038834951,77.0,137.0,196.0,37.262,2025-07-09,OpenRouter
claude-4.5-haiku:nothinking,claude-haiku-4.5 (no thinking),anthropic/claude-haiku-4.5,0.9540000000000001,0.3466666666666667,0.7546666666666667,0.6828333333333334,0.5723,0.4991666666666667,0.2803333333333333,0.18586111111111112,0.5998333333333333,0.2511666666666667,0.32228,0.32066666666666666,0.276,0.1485,0.8494999999999999,0.14140000000000003,0.5321666666666667,0.45396124183006537,0.011362920132010245,0.08938744,2285.88,128.0,174.0,236.10000000000002,25.5445,2025-10-15,OpenRouter
claude-4.5-haiku,claude-haiku-4.5 (thinking 16k),anthropic/claude-haiku-4.5,0.9621666666666666,0.326,0.864,0.6881666666666666,0.6807666666666666,0.5351666666666667,0.2568333333333333,0.22350000000000003,0.6153333333333333,0.33899999999999997,0.30101666666666665,0.2733333333333334,0.13299999999999998,0.12533333333333332,0.5905,0.09349999999999999,0.49750000000000005,0.4414774509803922,0.010276696227397039,0.12278560784313726,3704.5372549019608,116.0,162.0,227.0,23.1615,2025-10-15,OpenRouter
claude-4-sonnet-20250522,claude-4-sonnet (no thinking),anthropic/claude-4-sonnet-20250522,0.9128000000000001,0.4406,0.8991999999999999,0.6731999999999999,0.46588,0.4315,0.3338,0.09788333333333334,0.5686,0.253,0.31464000000000003,0.266,0.367,0.1416,0.5676,0.1836,0.5424,0.43878254901960784,0.014137609333575992,0.3080565,2693.2238095238095,144.70000000000002,218.0,320.0,28.892000000000003,2025-05-22,OpenRouter
o1-2024-12-17,o1 (high),o1-2024-12-17,0.944,0.352,0.593,0.641,0.6183,0.5095000000000001,0.39,0.345,0.5585,0.325,0.3388,0.403,0.178,0.1725,0.5375000000000001,0.2745,0.269,0.43821176470588236,0.021666242661148954,1.585624411764706,4119.017647058824,83.9,153.0,220.2,16.9595,2024-12-17,OpenAI responses
o3-mini-high-2025-01-31,o3-mini (high),openai/o3-mini-high-2025-01-31,0.9681999999999998,0.352,0.7092,0.6094,0.6154,0.39759999999999995,0.33919999999999995,0.4861000000000001,0.6045999999999999,0.2286,0.33912,0.33359999999999995,0.225,0.2624,0.44880000000000003,0.30079999999999996,0.2098,0.4370482352941177,0.015164624724508389,0.17446746058823528,6929.781176470588,90.30000000000001,158.0,232.39999999999998,31.92,2025-01-31,OpenRouter
claude-4-opus-20250522:16k,claude-4-opus (thinking 16k),anthropic/claude-4-opus-20250522,0.9724999999999999,0.2885,0.782,0.7395,0.2724,0.41500000000000004,0.281,0.45195833333333335,0.613,0.2905,0.33085,0.274,0.358,0.1285,0.44799999999999995,0.14600000000000002,0.5860000000000001,0.43398284313725494,0.021731085029700215,1.7160811764705883,3103.3058823529414,184.5,232.0,296.4,33.284,2025-05-22,OpenRouter
grok-4-fast,grok-4-fast,x-ai/grok-4-fast,0.9138333333333333,0.32766666666666666,0.85,0.5468333333333334,0.7676666666666666,0.4756666666666667,0.3691666666666667,0.42668055555555556,0.3501666666666667,0.20799999999999996,0.2913166666666666,0.28883333333333333,0.18333333333333332,0.12966666666666668,0.49233333333333335,0.32066666666666666,0.345,0.428637091503268,0.01548404385871464,0.01272623039215686,4008.654901960784,88.0,147.0,203.0,22.002,2025-09-19,OpenRouter
kimi-k2-thinking,kimi-k2-thinking,moonshotai/kimi-k2-thinking,0.9661666666666666,0.367,0.7643333333333334,0.6022000000000001,0.6504333333333333,0.5199999999999999,0.3576,0.3651666666666667,0.6006666666666666,0.20866666666666667,0.32084,0.2285,0.25733333333333336,0.23633333333333337,0.20166666666666663,0.09583333333333333,0.5309999999999999,0.42786705882352943,0.015491065069442098,0.08093773510638298,5090.33829787234,135.0,195.0,270.2,23.366,2025-11-06,OpenRouter
claude-opus-4.1:16k,claude-opus-4.1 (thinking 16k),anthropic/claude-opus-4.1,0.9635,0.397,0.729,0.7535000000000001,0.5457000000000001,0.40700000000000003,0.3095,0.21375,0.585,0.273,0.33665,0.237,0.131,0.1315,0.288,0.3055,0.6625,0.4275941176470588,0.02137606744889823,1.7354276470588235,3141.335294117647,177.9,241.5,299.1,39.9585,2025-08-05,OpenRouter
grok-3-mini,grok-3-mini (high),x-ai/grok-3-mini,0.9108,0.38120000000000004,0.8592000000000001,0.576,0.60944,0.5112,0.3578,0.18331666666666666,0.5834,0.3492,0.30100000000000005,0.4284,0.4894,0.1396,0.2824,0.05219999999999999,0.22479999999999997,0.4258445098039216,0.014212635321186651,0.017393419411764702,4919.28,78.0,130.0,182.60000000000002,16.3,2025-04-09,OpenRouter
gemini-2.5-flash-preview-09-2025:16k,gemini-2.5-flash-09-25 (thinking 16k),google/gemini-2.5-flash-preview-09-2025,0.9344285714285715,0.3198571428571429,0.8885714285714287,0.5654285714285714,0.5711714285714286,0.5487142857142857,0.24814285714285714,0.2680238095238095,0.5961428571428572,0.2397142857142857,0.32377142857142854,0.29000000000000004,0.1217142857142857,0.17300000000000001,0.5871428571428571,0.2018571428571429,0.24657142857142858,0.41907366946778707,0.01030795435843648,0.07324502983193275,5189.658823529412,136.2,206.0,284.80000000000007,26.195,2025-09-25,OpenRouter
gpt-oss-120b:fireworks,gpt-oss-120b (medium),openai/gpt-oss-120b,0.9541999999999999,0.35660000000000003,0.7415999999999999,0.605,0.46908000000000005,0.5418000000000001,0.38039999999999996,0.38761666666666666,0.5884,0.24459999999999998,0.2455,0.3004,0.4598,0.24040000000000003,0.19019999999999998,0.1286,0.2856,0.41881156862745106,0.012579717122950411,0.011485011176470586,2346.2188235294116,100.0,196.0,258.0,16.105,2025-08-05,OpenRouter
deepseek-r1-0528,deepseek-r1-0528,deepseek/deepseek-r1-0528,0.9616,0.2556,0.6192,0.5601999999999999,0.6579200000000001,0.4932,0.27840000000000004,0.5287833333333334,0.5776,0.24580000000000002,0.28559999999999997,0.2298,0.1248,0.1274,0.32780000000000004,0.1746,0.6284,0.4162766666666667,0.015420663260519692,0.07106829941176471,5242.901176470588,105.4,174.0,234.0,17.237,2025-05-28,OpenRouter
qwen3-coder,qwen3-coder,qwen/qwen3-coder,0.9710000000000001,0.2875,0.703,0.5710000000000001,0.48900000000000005,0.5258333333333334,0.31216666666666665,0.223625,0.5533333333333333,0.264,0.3417666666666667,0.29549999999999993,0.12516666666666668,0.13033333333333333,0.7811666666666667,0.08833333333333333,0.33549999999999996,0.4116602941176471,0.009552690607848418,0.07259235294117648,1730.3725490196077,124.9,174.0,254.20000000000005,24.408,2025-07-23,OpenRouter
qwen3-235b-a22b-thinking-2507,qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,0.9023999999999999,0.3008,0.7091999999999999,0.6328,0.72488,0.5519999999999999,0.3046,0.3834833333333333,0.41180000000000005,0.28480000000000005,0.31273999999999996,0.2504,0.1764,0.1348,0.3276,0.22820000000000001,0.3394,0.4103707843137254,0.01615158107936273,0.019894731411764704,5771.023529411765,62.0,127.0,191.0,19.14,2025-07-25,OpenRouter
